task_id,taxonomy,preference_axis,selector,predicted_rank,kendall_tau,spearman_rho,top1_match,parse_failure,prompt_chars,completion_chars,raw_response
1,ai.audio.stt,cost,asm_topsis,"[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,False,0,0,
1,ai.audio.stt,cost,llm_raw_doc,"[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,False,4450,54,"{""ranking"": [""deepgram/nova@v2"", ""openai/whisper@v1""]}"
1,ai.audio.stt,cost,llm_manifest,"[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,False,3478,54,"{""ranking"": [""deepgram/nova@v2"", ""openai/whisper@v1""]}"
2,ai.audio.stt,latency,asm_topsis,"[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,False,0,0,
2,ai.audio.stt,latency,llm_raw_doc,"[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,False,4453,54,"{""ranking"": [""deepgram/nova@v2"", ""openai/whisper@v1""]}"
2,ai.audio.stt,latency,llm_manifest,"[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,False,3481,54,"{""ranking"": [""deepgram/nova@v2"", ""openai/whisper@v1""]}"
3,ai.audio.tts,cost,asm_topsis,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",1.0,1.0,True,False,0,0,
3,ai.audio.tts,cost,llm_raw_doc,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",1.0,1.0,True,False,4459,58,"{""ranking"": [""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]}"
3,ai.audio.tts,cost,llm_manifest,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",1.0,1.0,True,False,4255,58,"{""ranking"": [""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]}"
4,ai.audio.tts,latency,asm_topsis,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",-1.0,-1.0,False,False,0,0,
4,ai.audio.tts,latency,llm_raw_doc,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",-1.0,-1.0,False,False,4462,58,"{""ranking"": [""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]}"
4,ai.audio.tts,latency,llm_manifest,"[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",1.0,1.0,True,False,4258,58,"{""ranking"": [""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]}"
5,ai.audio.tts,quality,asm_topsis,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",-1.0,-1.0,False,False,0,0,
5,ai.audio.tts,quality,llm_raw_doc,"[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",1.0,1.0,True,False,4462,58,"{""ranking"": [""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]}"
5,ai.audio.tts,quality,llm_manifest,"[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",1.0,1.0,True,False,4258,58,"{""ranking"": [""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]}"
6,ai.code.completion,latency,asm_topsis,"[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,False,0,0,
6,ai.code.completion,latency,llm_raw_doc,"[""cursor/editor@v1"", ""github/copilot@v1""]",-1.0,-1.0,False,False,8424,54,"{""ranking"": [""cursor/editor@v1"", ""github/copilot@v1""]}"
