task_id,taxonomy,profile,n_candidates,topsis_rank,wa_rank,kendall_tau,spearman_rho,top1_agrees,topsis_winner,wa_winner,topsis_utility,wa_regret
1,infra.database.postgres,quality_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,1.0,True,neon/serverless-postgres@v1,neon/serverless-postgres@v1,1.0,0.0
2,infra.compute.gpu,speed_first,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,runpod/gpu-serverless@1.0,runpod/gpu-serverless@1.0,1.0,0.0
3,ai.audio.stt,balanced,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
4,tool.communication.chat,quality_first,2,"[""discord/api@v10"", ""slack/web-api@v2""]","[""discord/api@v10"", ""slack/web-api@v2""]",1.0,1.0,True,discord/api@v10,discord/api@v10,0.9966,0.0
5,infra.database.postgres,speed_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,1.0,True,neon/serverless-postgres@v1,neon/serverless-postgres@v1,1.0,0.0
6,tool.productivity.todo,quality_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""ticktick/api@v2"", ""todoist/api@v2"", ""google/tasks-api@v1""]",0.3333333333333333,0.5,False,todoist/api@v2,ticktick/api@v2,0.8911,0.23029999999999995
7,ai.audio.tts,speed_first,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",-1.0,-1.0,False,openai/tts-1@1.0,elevenlabs/tts-v2@2.0,0.6073,0.21459999999999996
8,ai.llm.embedding,cost_first,2,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]","[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]",1.0,1.0,True,openai/text-embedding-3-large@3.0,openai/text-embedding-3-large@3.0,0.9671,0.0
9,ai.audio.stt,balanced,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
10,tool.devops.ci,quality_first,2,"[""github/actions@v2"", ""circleci/cloud@v2""]","[""github/actions@v2"", ""circleci/cloud@v2""]",1.0,1.0,True,github/actions@v2,github/actions@v2,0.8259,0.0
11,tool.productivity.todo,cost_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,1.0,True,todoist/api@v2,todoist/api@v2,0.8996,0.0
