task_id,taxonomy,preference_axis,selector,predicted_rank,kendall_tau,spearman_rho,top1_match,parse_failure,prompt_chars,completion_chars,raw_response
1,ai.audio.stt,cost,asm_topsis,"[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,False,0,0,
2,ai.audio.stt,latency,asm_topsis,"[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,False,0,0,
3,ai.audio.tts,cost,asm_topsis,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",1.0,1.0,True,False,0,0,
4,ai.audio.tts,latency,asm_topsis,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",-1.0,-1.0,False,False,0,0,
5,ai.audio.tts,quality,asm_topsis,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",-1.0,-1.0,False,False,0,0,
6,ai.code.completion,latency,asm_topsis,"[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,False,0,0,
7,ai.llm.chat,cost,asm_topsis,"[""openai/gpt-4o@2024-11-20"", ""google/gemini-2.5-pro@2.5"", ""anthropic/claude-sonnet-4@4.0""]",0.3333333333333333,0.5,False,False,0,0,
8,ai.llm.chat,latency,asm_topsis,"[""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0"", ""google/gemini-2.5-pro@2.5""]",1.0,1.0,True,False,0,0,
9,ai.llm.chat,quality,asm_topsis,"[""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0"", ""google/gemini-2.5-pro@2.5""]",-1.0,-1.0,False,False,0,0,
10,ai.llm.embedding,cost,asm_topsis,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]",1.0,1.0,True,False,0,0,
11,ai.llm.embedding,latency,asm_topsis,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]",1.0,1.0,True,False,0,0,
12,ai.llm.embedding,quality,asm_topsis,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]",-1.0,-1.0,False,False,0,0,
13,ai.nlp.translation,latency,asm_topsis,"[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,False,0,0,
14,ai.video.generation,cost,asm_topsis,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]",1.0,1.0,True,False,0,0,
15,ai.video.generation,latency,asm_topsis,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]",-1.0,-1.0,False,False,0,0,
16,ai.video.generation,quality,asm_topsis,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]",-1.0,-1.0,False,False,0,0,
17,ai.vision.image_generation,latency,asm_topsis,"[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]",1.0,1.0,True,False,0,0,
18,infra.compute.gpu,cost,asm_topsis,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,False,0,0,
19,infra.compute.gpu,latency,asm_topsis,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,False,0,0,
20,infra.database.postgres,latency,asm_topsis,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,1.0,True,False,0,0,
21,infra.database.vector,latency,asm_topsis,"[""qdrant/cloud@v1"", ""pinecone/index@v3""]",1.0,1.0,True,False,0,0,
22,tool.automation.browser,cost,asm_topsis,"[""steel/browser@v1"", ""browserbase/api@v1""]",1.0,1.0,True,False,0,0,
23,tool.automation.browser,latency,asm_topsis,"[""steel/browser@v1"", ""browserbase/api@v1""]",1.0,1.0,True,False,0,0,
24,tool.communication.chat,latency,asm_topsis,"[""discord/api@v10"", ""slack/web-api@v2""]",1.0,1.0,True,False,0,0,
25,tool.communication.email,cost,asm_topsis,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,False,0,0,
26,tool.communication.email,latency,asm_topsis,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,False,0,0,
27,tool.data.scraping,cost,asm_topsis,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,1.0,True,False,0,0,
28,tool.data.scraping,latency,asm_topsis,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,1.0,True,False,0,0,
29,tool.data.search,cost,asm_topsis,"[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,1.0,True,False,0,0,
30,tool.data.search,latency,asm_topsis,"[""exa/search-api@v1"", ""tavily/search-api@v1""]",1.0,1.0,True,False,0,0,
31,tool.devops.ci,latency,asm_topsis,"[""circleci/cloud@v2"", ""github/actions@v2""]",1.0,1.0,True,False,0,0,
32,tool.devops.deployment,cost,asm_topsis,"[""vercel/platform@v1"", ""fly/machines@v1""]",1.0,1.0,True,False,0,0,
33,tool.devops.deployment,latency,asm_topsis,"[""vercel/platform@v1"", ""fly/machines@v1""]",1.0,1.0,True,False,0,0,
34,tool.productivity.spreadsheet,latency,asm_topsis,"[""google/sheets-api@v4"", ""airtable/api@v1""]",1.0,1.0,True,False,0,0,
35,tool.productivity.todo,latency,asm_topsis,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,1.0,True,False,0,0,
36,tool.productivity.todo,quality,asm_topsis,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",0.3333333333333333,0.5,False,False,0,0,
