task_id,category,preference_axis,selector,service_id,selection_reason,response_text,judge_score,judge_rationale,latency_s,prompt_tokens,completion_tokens,cost_usd,cost_violation,latency_violation,quality_violation,success,error
1,translation,quality,asm_topsis,deepseek/deepseek-v4-flash@4.0,deterministic TOPSIS,Lottie 文件格式以 JSON 传输动画，可读性强，但在规模化时出现问题：一个 3 秒的加载旋转图标，一旦加入渐变和遮罩，体积可能膨胀到 1.2 MB。基于 Skia 的渲染器会解析文件一次，然后每帧分发 GPU 绘制调用，因此瓶颈从网络转移到冷启动时的上传带宽。服务器端光栅化速度更快，但会失去交互性——按钮停止响应悬停状态。正确的做法取决于你的动画是装饰性的还是位于点击路径中。,10.0,"The translation accurately preserves all technical terms and numbers, flows naturally in idiomatic Mandarin, and strictly adheres to the output-only constraint.",6.955,141,606,0.0002352,False,False,False,True,
1,translation,quality,random,deepseek/deepseek-v4-flash@4.0,uniform random,Lottie 文件格式以 JSON 形式传输动画，这种格式人类可读，但在大规模应用时会出现问题：一个 3 秒的加载旋转图标，一旦加入渐变和遮罩，体积可能膨胀至 1.2 MB。基于 Skia 的渲染器会解析一次文件，然后每帧分派 GPU 绘制调用，因此瓶颈从网络转移到了冷启动时的上传带宽。服务端栅格化速度更快，但会失去交互性——按钮将不再响应悬停状态。正确的做法取决于你的动画是装饰性的还是位于点击路径中。,10.0,"The translation is idiomatic, preserves all technical terms and numbers accurately, and strictly adheres to the output-only constraint.",9.667,141,719,0.00027317,False,False,False,True,
1,translation,quality,cheapest_first,deepseek/deepseek-v4-flash@4.0,minimum estimated cost,Lottie 文件格式以 JSON 形式输出动画，这种格式人类可读，但在规模扩大时会出现问题：一个 3 秒的加载旋转图标，一旦加入渐变和遮罩，体积可能膨胀至 1.2 MB。基于 Skia 的渲染器会先解析文件，然后每帧分发 GPU 绘制调用，因此瓶颈从网络转移到了冷启动时的上传带宽。服务器端光栅化速度更快，但会失去交互性——按钮将不再响应悬停状态。正确的选择取决于你的动画是装饰性的，还是位于点击路径中。,10.0,"The translation is accurate, fluent, and correctly preserves technical terms like Skia, JSON, and GPU while adhering to the output-only constraint.",4.882,141,344,0.00014717,False,False,False,True,
1,translation,quality,weighted_average,moonshot/kimi-k2.5@2.5,additive weighted score,Lottie 文件格式将动画打包为 JSON，人类可读却难以应对规模化场景：一段 3 秒的加载动画一旦引入渐变与蒙版，体积便可暴增至 1.2 MB。基于 Skia 的渲染器单次解析文件，随后每帧向 GPU 派发绘制调用，于是冷挂载时的瓶颈便从网络转移至上传带宽。服务端栅格化虽速度更快，却丧失了交互性——按钮不再响应悬停状态。究竟该采用何种方案，取决于动画仅为装饰用途，抑或处于点击路径之中。,10.0,"The translation is accurate, fluent, preserves all technical terms and numbers, and strictly adheres to the output-only constraint.",97.716,143,3212,0.0068715,False,True,False,True,
1,translation,quality,llm_picker_manifest,moonshot/kimi-k2.5@2.5,"It has the highest quality score (60) among all candidates, and its cost and latency (p99 5s < 30s) are within the specified constraints.",Lottie 文件格式将动画以 JSON 形式交付，这种格式虽人类可读，但在规模扩大时会不堪重负：一个 3 秒的加载指示器一旦加入渐变和遮罩，体积可能膨胀至 1.2 MB。基于 Skia 的渲染器只需解析一次文件，随后逐帧调度 GPU 绘制调用，因此冷挂载时的瓶颈从网络转移到了上传带宽。服务端栅格化更快，但会失去交互性——按钮不再响应悬停状态。正确的选择取决于你的动画是装饰性的，还是位于点击路径上。,10.0,"The translation accurately preserves all technical terms and numbers while rendering the English technical concepts into fluent, idiomatic Mandarin.",39.917,143,1420,0.00307246,False,True,False,True,
1,translation,quality,llm_picker_raw_doc,qwen/qwen3-max@3.0,"Qwen3 Max is Alibaba's flagship model with strong multilingual support, making it best suited for high-quality, idiomatic translation while preserving technical content.",Lottie 文件格式以 JSON 形式分发动画，这种格式虽便于人类阅读，但在规模扩大时就会出现问题：一个 3 秒的加载旋转动画一旦包含渐变和蒙版，文件大小就可能膨胀到 1.2 MB。基于 Skia 的渲染器会先解析一次文件，然后逐帧发出 GPU 绘制调用，因此瓶颈便从网络传输转移到冷挂载（cold mounts）时的上传带宽上。服务端光栅化速度更快，但会丧失交互性——按钮将不再响应悬停状态。正确的选择取决于你的动画是装饰性的，还是位于用户点击路径中。,10.0,"The translation is technically accurate, preserves all required terms and numbers, maintains a natural professional flow, and strictly follows the output-only constraint.",6.972,143,138,0.0003892,False,False,False,True,
2,translation,cost,asm_topsis,moonshot/kimi-k2.5@2.5,deterministic TOPSIS,代理必须在200毫秒内完成支付，否则收据作废。,10.0,"The translation is accurate, natural, and strictly adheres to the output-only constraint.",7.186,40,304,0.00066184,False,False,False,True,
2,translation,cost,random,moonshot/kimi-k2.5@2.5,uniform random,代理必须在200毫秒内完成支付，否则收据无效。,10.0,The translation accurately conveys the meaning and tone of the original sentence while strictly following the output-only constraint.,20.584,40,805,0.00172396,False,False,False,True,
2,translation,cost,cheapest_first,moonshot/kimi-k2.5@2.5,minimum estimated cost,,0.0,,8.94192930002464,0,0,0.0,False,False,False,False,[WinError 10054] 远程主机强迫关闭了一个现有的连接。
2,translation,cost,weighted_average,moonshot/kimi-k2.5@2.5,additive weighted score,代理人必须在200毫秒内完成支付，否则收据无效。,10.0,"The translation is accurate, grammatically correct, and adheres strictly to the output-only constraint.",24.326,40,603,0.00129572,False,False,False,True,
